time_s,V_V,I_A,P_W,Q_VAR,S_VA,FP
0.0,122.8293,83.5644,8182.0733,6197.2973,10264.1520,0.7972
900.0,122.4548,74.4294,7318.8695,5431.7090,9114.2368,0.8030
1800.0,122.3232,76.8476,7518.5156,5642.3722,9400.2362,0.7998
2700.0,121.8028,78.5206,7668.5015,5715.2940,9564.0212,0.8018
3600.0,122.1334,73.0917,7189.5826,5291.5178,8926.9400,0.8054
4500.0,122.0649,76.6629,7506.2049,5588.0422,9357.8485,0.8021
5400.0,122.0801,76.3299,7505.0217,5523.2832,9318.3694,0.8054
6300.0,121.8995,69.4611,6802.9851,5041.2368,8467.2708,0.8034
7200.0,121.9895,80.4850,7912.7332,5812.7590,9818.3254,0.8059
8100.0,121.8355,79.8869,7745.7497,5893.7113,9733.0608,0.7958
9000.0,121.5847,74.8836,7255.0271,5500.9245,9104.7014,0.7968
9900.0,122.0623,76.6403,7436.7096,5675.3384,9354.8980,0.7950
10800.0,122.0115,78.7427,7707.6428,5735.5558,9607.5157,0.8023
11700.0,122.1603,75.8202,7400.7606,5569.3313,9262.2194,0.7990
12600.0,121.7120,75.7374,7408.2088,5485.6776,9218.1461,0.8037
13500.0,121.5529,71.0873,6923.6647,5169.8646,8640.8699,0.8013
14400.0,121.4691,79.4693,7727.3693,5785.2806,9653.0673,0.8005
15300.0,121.1788,83.4861,8180.4142,5952.2533,10116.7433,0.8086
16200.0,121.7358,90.7636,8866.1371,6593.6267,11049.1765,0.8024
17100.0,121.1857,90.4794,8770.6749,6580.4521,10964.8114,0.7999
18000.0,121.1156,110.6451,10667.9241,8110.3714,13400.8481,0.7961
18900.0,121.3006,164.9082,15697.9828,12398.0771,20003.4742,0.7848
19800.0,121.6567,227.1809,21110.2709,17838.7046,27638.0701,0.7638
20700.0,121.3068,310.4733,27706.4824,25511.1036,37662.5221,0.7357
21600.0,120.9543,418.4010,36407.9342,35150.6962,50607.4018,0.7194
22500.0,120.4289,389.5144,35695.3065,30434.8342,46908.7843,0.7610
23400.0,120.1501,418.1844,39866.4758,30581.2290,50244.8749,0.7934
24300.0,119.3615,428.0938,42865.3898,27812.8388,51097.9026,0.8389
25200.0,118.6155,456.5081,47954.1209,25149.7139,54148.9226,0.8856
26100.0,118.4448,457.3061,47992.8002,25111.6597,54165.5271,0.8860
27000.0,118.3788,451.6146,48487.7232,22518.5223,53461.6044,0.9070
27900.0,118.3743,455.1380,49839.7014,20462.0344,53876.6247,0.9251
28800.0,117.3014,453.8183,49374.9501,19897.7999,53233.5246,0.9275
29700.0,117.5997,456.8370,50000.0000,19653.3527,53723.8706,0.9307
30600.0,117.7071,442.1731,48709.1373,18338.5228,52046.9161,0.9359
31500.0,117.4694,444.1478,49020.2625,17863.8694,52173.7862,0.9396
32400.0,117.9783,437.0726,48553.1035,17365.2777,51565.0728,0.9416
33300.0,118.1043,447.5216,49495.2568,18541.5105,52854.2152,0.9364
34200.0,118.7698,442.3882,49491.9285,17642.1599,52542.3334,0.9419
35100.0,118.6183,431.5944,48528.0080,16308.3191,51195.0079,0.9479
36000.0,118.4104,435.0318,48871.3128,16282.2559,51512.3002,0.9487
36900.0,119.1052,426.8389,48337.6425,15749.5939,50838.7391,0.9508
37800.0,119.0145,433.0739,48511.9868,17411.8305,51542.0673,0.9412
38700.0,118.8316,429.6941,47858.1586,17800.2359,51061.2548,0.9373
39600.0,119.2568,421.3158,47350.5941,16806.4936,50244.7708,0.9424
40500.0,119.4087,413.2468,45936.6772,18021.6127,49345.2818,0.9309
41400.0,119.4903,411.7103,45435.8065,18861.9189,49195.3707,0.9236
42300.0,119.8571,404.6912,44806.1445,18578.3864,48505.1237,0.9237
43200.0,119.4604,388.3536,42638.3178,18283.1385,46392.8798,0.9191
44100.0,120.0857,391.7726,42945.9317,19209.4165,47046.3041,0.9128
45000.0,120.5432,409.7858,44546.7282,21345.7375,49396.8774,0.9018
45900.0,120.6547,415.0432,44501.8092,22962.6987,50076.9064,0.8887
46800.0,120.8660,458.4404,48675.4527,26475.4837,55409.8451,0.8785
47700.0,121.0187,425.7925,46008.9995,23203.2949,51528.8359,0.8929
48600.0,121.2570,421.0003,46730.5346,20549.4963,51049.2376,0.9154
49500.0,120.7816,421.7987,47535.2716,18326.0451,50945.5197,0.9331
50400.0,121.4030,420.3700,47960.3814,17443.8809,51034.1764,0.9398
51300.0,120.6034,429.3920,48860.6615,17159.2306,51786.1317,0.9435
52200.0,120.7553,427.6597,48747.0202,17048.2402,51642.1773,0.9439
53100.0,120.2905,435.9866,49387.6238,17645.0213,52445.0585,0.9417
54000.0,120.8516,429.0191,48887.5037,17268.1183,51847.6222,0.9429
54900.0,120.7701,421.0739,48021.8628,16731.4709,50853.1359,0.9443
55800.0,120.2526,429.1060,48494.9055,17632.9142,51601.1194,0.9398
56700.0,120.5759,429.3996,48964.9015,16826.0273,51775.2525,0.9457
57600.0,119.8381,419.7743,47880.9406,15427.3242,50304.9381,0.9518
58500.0,119.8861,415.9098,47428.0425,15387.7492,49861.8295,0.9512
59400.0,119.7367,416.2362,47056.2821,16419.7220,49838.7495,0.9442
60300.0,119.2946,417.4714,46863.5741,16853.8602,49802.0801,0.9410
61200.0,119.5051,416.4884,46913.5391,16625.9146,49772.4943,0.9426
62100.0,119.7154,404.6301,45810.8336,15743.0342,48440.4335,0.9457
63000.0,118.8540,416.7793,46132.1123,18045.2898,49535.8887,0.9313
63900.0,119.1658,403.3209,44668.9541,17738.2977,48062.0710,0.9294
64800.0,118.7629,399.8032,44075.0420,17661.0128,47481.7934,0.9283
65700.0,118.9247,396.0007,43606.5427,17785.9283,47094.2652,0.9259
66600.0,118.3161,394.1892,42631.8759,18913.3086,46638.9332,0.9141
67500.0,118.0623,379.8021,40944.2460,18281.7227,44840.3018,0.9131
68400.0,117.7544,378.0692,40161.5681,19209.7904,44519.2946,0.9021
69300.0,117.3598,363.5916,38446.5601,18511.5931,42671.0330,0.9010
70200.0,116.6650,348.1437,36198.7966,18420.6962,40616.1904,0.8912
71100.0,117.0340,325.4240,33687.9345,17766.3003,38085.6712,0.8845
72000.0,116.0710,319.7921,32785.3751,17404.3024,37118.6013,0.8833
72900.0,116.7573,296.2330,29754.0616,17634.6553,34587.3568,0.8603
73800.0,117.1474,266.4427,26435.1435,16596.3503,31213.0687,0.8469
74700.0,117.0989,232.0842,22771.8997,14833.0523,27176.8073,0.8379
75600.0,117.6348,205.9046,19935.8744,13756.6068,24221.5466,0.8231
