time_s,V_V,I_A,P_W,Q_VAR,S_VA,FP
0.0,122.8293,12.6057,1283.1854,866.4887,1548.3434,0.8287
900.0,122.4548,11.8313,1182.3208,837.3385,1448.7989,0.8161
1800.0,122.3232,11.7402,1166.9374,837.0327,1436.0943,0.8126
2700.0,121.8028,11.8844,1156.9315,870.0085,1447.5515,0.7992
3600.0,122.1334,9.9932,988.5567,715.8091,1220.5028,0.8100
4500.0,122.0649,9.7943,963.4916,707.8212,1195.5446,0.8059
5400.0,122.0801,10.6947,1047.5141,779.3174,1305.6115,0.8023
6300.0,121.8995,9.9331,973.6126,719.8778,1210.8449,0.8041
7200.0,121.9895,8.9336,874.1358,650.8108,1089.8019,0.8021
8100.0,121.8355,9.5279,922.4853,704.6739,1160.8379,0.7947
9000.0,121.5847,8.7816,849.4341,646.8842,1067.7066,0.7956
9900.0,122.0623,8.5946,836.7620,632.7565,1049.0717,0.7976
10800.0,122.0115,8.8422,866.8027,642.3214,1078.8529,0.8034
11700.0,122.1603,7.6443,749.6794,556.7835,933.8239,0.8028
12600.0,121.7120,8.0098,773.5440,593.3211,974.8848,0.7935
13500.0,121.5529,8.8650,856.0193,654.5029,1077.5635,0.7944
14400.0,121.4691,8.6194,841.4482,623.0170,1046.9887,0.8037
15300.0,121.1788,9.8770,971.4156,699.1950,1196.8800,0.8116
16200.0,121.7358,9.6458,948.0176,692.8967,1174.2415,0.8073
17100.0,121.1857,9.8860,967.8130,706.1367,1198.0363,0.8078
18000.0,121.1156,11.9860,1191.0787,829.8982,1451.6885,0.8205
18900.0,121.3006,13.2650,1314.9196,927.3783,1609.0507,0.8172
19800.0,121.6567,15.5034,1558.1591,1062.7806,1886.0971,0.8261
20700.0,121.3068,16.7440,1693.9805,1120.7378,2031.1630,0.8340
21600.0,120.9543,19.5740,1972.5368,1309.3729,2367.5639,0.8332
22500.0,120.4289,24.7600,2513.2805,1604.5815,2981.8217,0.8429
23400.0,120.1501,28.4844,2938.6869,1754.1309,3422.4050,0.8587
24300.0,119.3615,34.2358,3531.8521,2055.4712,4086.4337,0.8643
25200.0,118.6155,38.1146,3974.4385,2154.7896,4520.9822,0.8791
26100.0,118.4448,36.8086,3867.6939,2012.1228,4359.7814,0.8871
27000.0,118.3788,34.9907,3723.7135,1814.2404,4142.1626,0.8990
27900.0,118.3743,34.8685,3746.0114,1733.1749,4127.5291,0.9076
28800.0,117.3014,32.5433,3508.4386,1504.3956,3817.3745,0.9191
29700.0,117.5997,30.2545,3257.6246,1430.6281,3557.9229,0.9156
30600.0,117.7071,29.5370,3182.7426,1399.1816,3476.7168,0.9154
31500.0,117.4694,26.7823,2871.8197,1284.7605,3146.1020,0.9128
32400.0,117.9783,25.7575,2769.8333,1249.9918,3038.8248,0.9115
33300.0,118.1043,23.8567,2576.7122,1139.8632,2817.5759,0.9145
34200.0,118.7698,23.9475,2552.0362,1255.7049,2844.2369,0.8973
35100.0,118.6183,23.9388,2581.1157,1183.6614,2839.5796,0.9090
36000.0,118.4104,23.9694,2551.0327,1244.0798,2838.2217,0.8988
36900.0,119.1052,23.9778,2541.9829,1301.6752,2855.8773,0.8901
37800.0,119.0145,24.0278,2549.7825,1294.7095,2859.6614,0.8916
38700.0,118.8316,24.2622,2563.6918,1319.0272,2883.1144,0.8892
39600.0,119.2568,23.7140,2517.9261,1287.6160,2828.0571,0.8903
40500.0,119.4087,25.2284,2638.7653,1453.2752,3012.4892,0.8759
41400.0,119.4903,26.0001,2729.5570,1483.7345,3106.7586,0.8786
42300.0,119.8571,27.6353,2896.0615,1607.5040,3312.2864,0.8743
43200.0,119.4604,28.4513,2928.3364,1725.3083,3398.8002,0.8616
44100.0,120.0857,26.5993,2764.0037,1600.9865,3194.1938,0.8653
45000.0,120.5432,27.0237,2851.9630,1574.0911,3257.5229,0.8755
45900.0,120.6547,26.1873,2771.7014,1516.8495,3159.6141,0.8772
46800.0,120.8660,25.5278,2716.5457,1462.9959,3085.4461,0.8804
47700.0,121.0187,25.6794,2731.4007,1482.2736,3107.6816,0.8789
48600.0,121.2570,25.2616,2693.9614,1457.8821,3063.1436,0.8795
49500.0,120.7816,24.7177,2625.2973,1421.5200,2985.4489,0.8794
50400.0,121.4030,22.8331,2456.1214,1285.0961,2772.0037,0.8860
51300.0,120.6034,23.2519,2462.9397,1340.8242,2804.2613,0.8783
52200.0,120.7553,23.1910,2476.4038,1307.6300,2800.4413,0.8843
53100.0,120.2905,23.2742,2490.0968,1279.6643,2799.6647,0.8894
54000.0,120.8516,22.3022,2377.5168,1269.5688,2695.2534,0.8821
54900.0,120.7701,22.5210,2445.3064,1190.8551,2719.8639,0.8991
55800.0,120.2526,22.7724,2440.0520,1243.0713,2738.4448,0.8910
56700.0,120.5759,22.9703,2484.7776,1223.4808,2769.6615,0.8971
57600.0,119.8381,24.3320,2655.7523,1203.9296,2915.8990,0.9108
58500.0,119.8861,25.9295,2788.7257,1373.4434,3108.5909,0.8971
59400.0,119.7367,26.0157,2803.0685,1358.7537,3115.0288,0.8999
60300.0,119.2946,27.2938,2968.0359,1338.7713,3256.0015,0.9116
61200.0,119.5051,28.1814,3029.6846,1470.7822,3367.8167,0.8996
62100.0,119.7154,29.1695,3157.1152,1492.2968,3492.0375,0.9041
63000.0,118.8540,31.4853,3405.6613,1550.8673,3742.1542,0.9101
63900.0,119.1658,33.7540,3664.4419,1658.5907,4022.3199,0.9110
64800.0,118.7629,34.6571,3757.7561,1679.4425,4115.9760,0.9130
65700.0,118.9247,37.0705,4042.0337,1760.0269,4408.5974,0.9169
66600.0,118.3161,36.2829,3978.3023,1612.9779,4292.8530,0.9267
67500.0,118.0623,39.8274,4373.3426,1727.3588,4702.1159,0.9301
68400.0,117.7544,41.1164,4517.1303,1742.6860,4841.6340,0.9330
69300.0,117.3598,42.5930,4619.2362,1910.4293,4998.7081,0.9241
70200.0,116.6650,44.3546,4768.0746,2010.5482,5174.6342,0.9214
71100.0,117.0340,44.6274,4768.3154,2131.2272,5222.9265,0.9130
72000.0,116.0710,46.6486,5000.0000,2077.8423,5414.5571,0.9234
72900.0,116.7573,47.2695,4972.0333,2395.5896,5519.0547,0.9009
73800.0,117.1474,46.9741,4976.7928,2348.0575,5502.8938,0.9044
74700.0,117.0989,45.5279,4794.0412,2332.2805,5331.2628,0.8992
75600.0,117.6348,45.8132,4713.9166,2612.0511,5389.2319,0.8747
76500.0,118.2803,44.2082,4544.3738,2586.6412,5228.9622,0.8691
77400.0,118.3942,43.4904,4441.6325,2604.6484,5149.0089,0.8626
78300.0,118.5867,41.2833,4218.3449,2484.5444,4895.6505,0.8617
79200.0,118.5002,39.7022,3978.7025,2510.8391,4704.7196,0.8457
80100.0,119.3668,36.3146,3665.4584,2313.9855,4334.7566,0.8456
