time,P,Q
0.0,8182.0733,6197.2973
900.0,7318.8695,5431.7090
1800.0,7518.5156,5642.3722
2700.0,7668.5015,5715.2940
3600.0,7189.5826,5291.5178
4500.0,7506.2049,5588.0422
5400.0,7505.0217,5523.2832
6300.0,6802.9851,5041.2368
7200.0,7912.7332,5812.7590
8100.0,7745.7497,5893.7113
9000.0,7255.0271,5500.9245
9900.0,7436.7096,5675.3384
10800.0,7707.6428,5735.5558
11700.0,7400.7606,5569.3313
12600.0,7408.2088,5485.6776
13500.0,6923.6647,5169.8646
14400.0,7727.3693,5785.2806
15300.0,8180.4142,5952.2533
16200.0,8866.1371,6593.6267
17100.0,8770.6749,6580.4521
18000.0,10667.9241,8110.3714
18900.0,15697.9828,12398.0771
19800.0,21110.2709,17838.7046
20700.0,27706.4824,25511.1036
21600.0,36407.9342,35150.6962
22500.0,35695.3065,30434.8342
23400.0,39866.4758,30581.2290
24300.0,42865.3898,27812.8388
25200.0,47954.1209,25149.7139
26100.0,47992.8002,25111.6597
27000.0,48487.7232,22518.5223
27900.0,49839.7014,20462.0344
28800.0,49374.9501,19897.7999
29700.0,50000.0000,19653.3527
30600.0,48709.1373,18338.5228
31500.0,49020.2625,17863.8694
32400.0,48553.1035,17365.2777
33300.0,49495.2568,18541.5105
34200.0,49491.9285,17642.1599
35100.0,48528.0080,16308.3191
36000.0,48871.3128,16282.2559
36900.0,48337.6425,15749.5939
37800.0,48511.9868,17411.8305
38700.0,47858.1586,17800.2359
39600.0,47350.5941,16806.4936
40500.0,45936.6772,18021.6127
41400.0,45435.8065,18861.9189
42300.0,44806.1445,18578.3864
43200.0,42638.3178,18283.1385
44100.0,42945.9317,19209.4165
45000.0,44546.7282,21345.7375
45900.0,44501.8092,22962.6987
46800.0,48675.4527,26475.4837
47700.0,46008.9995,23203.2949
48600.0,46730.5346,20549.4963
49500.0,47535.2716,18326.0451
50400.0,47960.3814,17443.8809
51300.0,48860.6615,17159.2306
52200.0,48747.0202,17048.2402
53100.0,49387.6238,17645.0213
54000.0,48887.5037,17268.1183
54900.0,48021.8628,16731.4709
55800.0,48494.9055,17632.9142
56700.0,48964.9015,16826.0273
57600.0,47880.9406,15427.3242
58500.0,47428.0425,15387.7492
59400.0,47056.2821,16419.7220
60300.0,46863.5741,16853.8602
61200.0,46913.5391,16625.9146
62100.0,45810.8336,15743.0342
63000.0,46132.1123,18045.2898
63900.0,44668.9541,17738.2977
64800.0,44075.0420,17661.0128
65700.0,43606.5427,17785.9283
66600.0,42631.8759,18913.3086
67500.0,40944.2460,18281.7227
68400.0,40161.5681,19209.7904
69300.0,38446.5601,18511.5931
70200.0,36198.7966,18420.6962
71100.0,33687.9345,17766.3003
72000.0,32785.3751,17404.3024
72900.0,29754.0616,17634.6553
73800.0,26435.1435,16596.3503
74700.0,22771.8997,14833.0523
75600.0,19935.8744,13756.6068
76500.0,17276.0715,12245.8927
77400.0,14890.7857,11119.5652
78300.0,13028.0896,9503.7018
79200.0,10619.4414,7926.0098
80100.0,9649.6819,7271.3051
81000.0,8975.9299,6914.0654
81900.0,8401.6719,6228.5667
82800.0,7500.4777,5488.8050
83700.0,7475.0910,5567.3074
84600.0,7235.7268,5326.5928
85500.0,7483.0151,5663.5332
