time,P,Q
0.0,1283.1854,866.4887
900.0,1182.3208,837.3385
1800.0,1166.9374,837.0327
2700.0,1156.9315,870.0085
3600.0,988.5567,715.8091
4500.0,963.4916,707.8212
5400.0,1047.5141,779.3174
6300.0,973.6126,719.8778
7200.0,874.1358,650.8108
8100.0,922.4853,704.6739
9000.0,849.4341,646.8842
9900.0,836.7620,632.7565
10800.0,866.8027,642.3214
11700.0,749.6794,556.7835
12600.0,773.5440,593.3211
13500.0,856.0193,654.5029
14400.0,841.4482,623.0170
15300.0,971.4156,699.1950
16200.0,948.0176,692.8967
17100.0,967.8130,706.1367
18000.0,1191.0787,829.8982
18900.0,1314.9196,927.3783
19800.0,1558.1591,1062.7806
20700.0,1693.9805,1120.7378
21600.0,1972.5368,1309.3729
22500.0,2513.2805,1604.5815
23400.0,2938.6869,1754.1309
24300.0,3531.8521,2055.4712
25200.0,3974.4385,2154.7896
26100.0,3867.6939,2012.1228
27000.0,3723.7135,1814.2404
27900.0,3746.0114,1733.1749
28800.0,3508.4386,1504.3956
29700.0,3257.6246,1430.6281
30600.0,3182.7426,1399.1816
31500.0,2871.8197,1284.7605
32400.0,2769.8333,1249.9918
33300.0,2576.7122,1139.8632
34200.0,2552.0362,1255.7049
35100.0,2581.1157,1183.6614
36000.0,2551.0327,1244.0798
36900.0,2541.9829,1301.6752
37800.0,2549.7825,1294.7095
38700.0,2563.6918,1319.0272
39600.0,2517.9261,1287.6160
40500.0,2638.7653,1453.2752
41400.0,2729.5570,1483.7345
42300.0,2896.0615,1607.5040
43200.0,2928.3364,1725.3083
44100.0,2764.0037,1600.9865
45000.0,2851.9630,1574.0911
45900.0,2771.7014,1516.8495
46800.0,2716.5457,1462.9959
47700.0,2731.4007,1482.2736
48600.0,2693.9614,1457.8821
49500.0,2625.2973,1421.5200
50400.0,2456.1214,1285.0961
51300.0,2462.9397,1340.8242
52200.0,2476.4038,1307.6300
53100.0,2490.0968,1279.6643
54000.0,2377.5168,1269.5688
54900.0,2445.3064,1190.8551
55800.0,2440.0520,1243.0713
56700.0,2484.7776,1223.4808
57600.0,2655.7523,1203.9296
58500.0,2788.7257,1373.4434
59400.0,2803.0685,1358.7537
60300.0,2968.0359,1338.7713
61200.0,3029.6846,1470.7822
62100.0,3157.1152,1492.2968
63000.0,3405.6613,1550.8673
63900.0,3664.4419,1658.5907
64800.0,3757.7561,1679.4425
65700.0,4042.0337,1760.0269
66600.0,3978.3023,1612.9779
67500.0,4373.3426,1727.3588
68400.0,4517.1303,1742.6860
69300.0,4619.2362,1910.4293
70200.0,4768.0746,2010.5482
71100.0,4768.3154,2131.2272
72000.0,5000.0000,2077.8423
72900.0,4972.0333,2395.5896
73800.0,4976.7928,2348.0575
74700.0,4794.0412,2332.2805
75600.0,4713.9166,2612.0511
76500.0,4544.3738,2586.6412
77400.0,4441.6325,2604.6484
78300.0,4218.3449,2484.5444
79200.0,3978.7025,2510.8391
80100.0,3665.4584,2313.9855
81000.0,3264.4299,2109.5977
81900.0,2940.8710,1918.8570
82800.0,2464.3731,1582.4499
83700.0,2173.5699,1480.8398
84600.0,1856.3670,1257.8281
85500.0,1478.5868,1012.4305
